"united_states_rating_percentage","rating"
"0.03440801950690869683","TV-Y"
"0.00054185857491194798","TV-Y7-FV"
"0.02411270658358168518","TV-G"
"0.13465185586561907342","TV-14"
"0.29829314548902736386","TV-MA"
"0.03982660525602817665","TV-Y7"
"0.01056624221078298564","G"
"0.00027092928745597399","NC-17"
"0.06583581685180167976","PG"
"0.08236250338661609320","TV-PG"
"0.11731238146843673801","PG-13"
"0.17881332972094283392","R"
"0.00027092928745597399","A"
"0.00027092928745597399","UR"
"0.01246274722297480358","NR"
